AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,992.717542,1216,1000
2,952.214267,1427,1000
4,1137.154379,1445,1000
8,860.979360,1948,1000
16,944.248123,1998,1000
32,1024.942998,1891,1000
64,905.879683,1112,1000
128,908.418641,1117,1000
256,767.534296,1355,1000
512,848.183325,1237,1000
1024,826.848696,1278,1000
2048,868.037136,1223,1000
4096,885.881945,1202,1000
8192,233.554062,1142,1000
16384,861.928544,1240,1000
32768,150.649231,1776,1000
65536,760.420708,1409,1000
131072,740.045194,1448,1000
