AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,853.673819,1415,1000
2,1097.632375,1238,1000
4,1294.813530,1269,1000
8,1317.043868,1273,1000
16,1287.168394,1466,1000
32,1516.218203,1278,1000
64,1498.218498,1345,1000
128,1730.701078,1172,1000
256,1794.036262,1159,1000
512,2019.394381,1039,1000
1024,1865.849995,1133,1000
2048,1665.602267,1274,1000
4096,1569.237703,1357,1000
8192,1670.750675,1277,1000
16384,1484.017735,1441,1000
32768,1091.572682,1961,1000
65536,961.227563,1114,1000
131072,892.506906,1201,1000
