AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,739.021102,1634,1000
2,855.790664,1587,1000
4,975.715908,1685,1000
8,932.838184,1798,1000
16,985.463110,1915,1000
32,1015.780411,1908,1000
64,926.960858,1087,1000
128,996.468324,1018,1000
256,983.035356,1058,1000
512,986.212155,1064,1000
1024,988.514245,1069,1000
2048,960.427273,1105,1000
4096,950.511671,1120,1000
8192,235.578225,1132,1000
16384,973.456825,1098,1000
32768,149.698323,1787,1000
65536,812.693199,1318,1000
131072,780.862850,1372,1000
