AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,800.878046,1508,1000
2,928.399169,1463,1000
4,1077.918340,1525,1000
8,957.895614,1751,1000
16,1034.128082,1825,1000
32,1075.026060,1803,1000
64,1035.067879,1947,1000
128,1068.509553,1899,1000
256,1094.874084,1900,1000
512,1122.723024,1870,1000
1024,1002.562906,1054,1000
2048,1088.922040,1949,1000
4096,1031.846956,1032,1000
8192,409.471177,1303,1000
16384,1056.940205,1011,1000
32768,275.358295,1943,1000
65536,798.489593,1342,1000
131072,786.360988,1363,1000
