STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394319234 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],2.566667,
call count,13,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,2.566667e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,1474130000
MEM_LOAD_RETIRED_L1_HIT,PMC2,1095314000
MEM_LOAD_RETIRED_L2_ALL,PMC3,378816400
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,5309787000
CPU_CLK_UNHALTED_CORE,FIXC1,6130612000
CPU_CLK_UNHALTED_REF,FIXC2,6130624000
TOPDOWN_SLOTS,FIXC3,30653060000
