STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394315606 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],2.000477,
call count,21,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,2.000477e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,7556058000
MEM_LOAD_RETIRED_L1_HIT,PMC2,7556055000
MEM_LOAD_RETIRED_L2_ALL,PMC3,2977
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,17811200000
CPU_CLK_UNHALTED_CORE,FIXC1,4781806000
CPU_CLK_UNHALTED_REF,FIXC2,4781799000
TOPDOWN_SLOTS,FIXC3,23909030000
