STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394289123 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],2.338425,
call count,19,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,2.338425e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,7812283000
MEM_LOAD_RETIRED_L1_HIT,PMC2,7514964000
MEM_LOAD_RETIRED_L2_ALL,PMC3,297319300
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,20560000000
CPU_CLK_UNHALTED_CORE,FIXC1,5589274000
CPU_CLK_UNHALTED_REF,FIXC2,5589251000
TOPDOWN_SLOTS,FIXC3,27946370000
