STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394259377 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],2.204047,
call count,26,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,2.204047e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,9865032000
MEM_LOAD_RETIRED_L1_HIT,PMC2,9865029000
MEM_LOAD_RETIRED_L2_ALL,PMC3,3709
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,28789820000
CPU_CLK_UNHALTED_CORE,FIXC1,5268576000
CPU_CLK_UNHALTED_REF,FIXC2,5268579000
TOPDOWN_SLOTS,FIXC3,26342880000
