STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394300663 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],2.036144,
call count,20,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,2.036144e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,7759448000
MEM_LOAD_RETIRED_L1_HIT,PMC2,7759026000
MEM_LOAD_RETIRED_L2_ALL,PMC3,424165
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,19961810000
CPU_CLK_UNHALTED_CORE,FIXC1,4866804000
CPU_CLK_UNHALTED_REF,FIXC2,4866791000
TOPDOWN_SLOTS,FIXC3,24334020000
