STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394314908 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],3.375376,
call count,16,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,3.375376e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,2965066000
MEM_LOAD_RETIRED_L1_HIT,PMC2,2334928000
MEM_LOAD_RETIRED_L2_ALL,PMC3,630138200
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,10505530000
CPU_CLK_UNHALTED_CORE,FIXC1,8067909000
CPU_CLK_UNHALTED_REF,FIXC2,8067984000
TOPDOWN_SLOTS,FIXC3,40339540000
