STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394317937 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],2.755393,
call count,17,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,2.755393e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,8321317000
MEM_LOAD_RETIRED_L1_HIT,PMC2,8320647000
MEM_LOAD_RETIRED_L2_ALL,PMC3,670085
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,18930530000
CPU_CLK_UNHALTED_CORE,FIXC1,6585197000
CPU_CLK_UNHALTED_REF,FIXC2,6585144000
TOPDOWN_SLOTS,FIXC3,32925990000
