ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1761,4
3529,8
7040,16
14066,32
28106,64
56193,128
112403,256
224789,512
449559,1024
899077,2048
1798203,4096
8388608,4776954877.730712,1798203,1000
1037,1
1854,2
3546,4
7075,8
14069,16
28136,32
56306,64
112556,128
225078,256
450132,512
900362,1024
1800486,2048
16777216,4770897742.054090,1800486,1000
2035,1
3906,2
7761,4
15377,8
30677,16
61293,32
122646,64
245014,128
489690,256
978220,512
1956729,1024
33554432,4389945972.078914,1956729,1000
