ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,10957010425.183714,1567,1000
2048,8627888674.278149,1991,1000
4096,7876843912.592959,1090,1000
8192,6092921370.215530,1409,1000
16384,5338675732.333293,1609,1000
32768,5038321206.860146,1704,1000
65536,4896075638.389857,1754,1000
131072,4838889982.858144,1775,1000
262144,4808010907.942962,1786,1000
524288,4794220655.267237,1791,1000
1048576,4785721500.087191,1794,1000
2097152,4777140841.083502,1798,1000
4194304,4775953581.158469,1798,1000
8388608,4775725227.474139,1798,1000
16777216,4736091604.097219,1813,1000
33554432,4364216501.334932,1968,1000
