AllocatedMem(MiB),MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,1821.118766,1160,1000
2,1519.460044,1397,1000
4,1512.781551,1408,1000
8,489.534530,1090,1000
16,1517.532530,1409,1000
32,319.803040,1673,1000
64,967.769219,1107,1000
128,895.731449,1196,1000
256,856.443971,1252,1000
512,877.128553,1223,1000
1024,872.321164,1230,1000
2048,872.188283,1230,1000
4096,868.907573,1235,1000
8192,858.219503,1250,1000
16384,814.317429,1318,1000
32768,631.351004,3400,1000
65536,546.344957,7860,1000
