ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,20596523481.774097,1668,1000
2,18917487725.286915,1816,1000
4,15738274698.194757,1091,1000
8,15268117638.276165,1125,1000
16,12006497524.252541,1430,1000
32,10593198463.666224,1621,1000
64,10005013717.106375,1717,1000
128,9775035452.696262,1757,1000
256,9663196879.854837,1777,1000
512,9603341621.635521,1788,1000
1024,9582889661.500532,1792,1000
2048,8171869899.796320,1051,1000
4096,7840121091.090305,1095,1000
8192,7835872873.625291,1096,1000
16384,7822365024.018213,1098,1000
32768,6125337621.340012,1402,1000
