ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,12688908999.592297,1353,1000
2,10775090650.687466,1594,1000
4,8276854301.202706,1037,1000
8,6226309286.839337,1379,1000
16,5421966384.814844,1584,1000
32,5082744390.447681,1690,1000
64,4921744013.503673,1745,1000
128,4850017893.822758,1771,1000
256,4813706779.700909,1784,1000
512,4796927369.834189,1790,1000
1024,4787842128.203671,1794,1000
2048,4774594402.065042,1799,1000
4096,4776824711.998096,1798,1000
8192,4776359892.283646,1798,1000
16384,4728804358.680615,1816,1000
32768,4461631542.261166,1925,1000
