ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,10059313621.690809,1707,1000
2,8195274746.054265,1048,1000
4,7795997956.144228,1101,1000
8,6053738858.463353,1418,1000
16,5298971345.239556,1621,1000
32,5027134202.681081,1708,1000
64,4893766064.806718,1755,1000
128,4836623139.729924,1776,1000
256,4807639555.253575,1786,1000
512,4791247062.340790,1792,1000
1024,4785036365.439185,1795,1000
2048,4778852383.519454,1797,1000
4096,4777581897.776767,1797,1000
8192,4776941595.188098,1798,1000
16384,4772008259.692555,1800,1000
32768,4401812490.583944,1951,1000
