ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,12750073052.982969,1347,1000
2,10906773160.245716,1575,1000
4,8316311317.046535,1032,1000
8,6260766626.871503,1372,1000
16,5433156543.777723,1581,1000
32,5088787634.211131,1688,1000
64,4923933302.264740,1744,1000
128,4851001178.593312,1770,1000
256,4814537768.346667,1784,1000
512,4797516773.005916,1790,1000
1024,4787263103.630266,1794,1000
2048,4775786296.669211,1798,1000
4096,4777193976.129420,1798,1000
8192,4776216480.463235,1798,1000
16384,4770076450.636274,1800,1000
32768,4448802435.414187,1930,1000
