ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,4326409476.873176,1985,1000
2,3948022936.395442,1087,1000
4,3099967156.698578,1385,1000
8,2700009552.888844,1590,1000
16,2535907301.402111,1693,1000
32,2461032756.910570,1745,1000
64,2423862100.102035,1771,1000
128,2406946458.903668,1784,1000
256,2398308325.962458,1790,1000
512,2394195965.456422,1793,1000
1024,2391396528.300542,1796,1000
2048,2388142764.761976,1798,1000
4096,2388549166.948901,1798,1000
8192,2388429622.536270,1798,1000
16384,2382609038.339495,1802,1000
32768,2245336536.948483,1912,1000
