ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,10705782652.262564,1604,1000
2,10115081527.118105,1698,1000
4,8096676936.360012,1060,1000
8,6109740445.722829,1405,1000
16,5390222846.937840,1593,1000
32,5062509557.548618,1696,1000
64,4913810080.652312,1748,1000
128,4844689352.092594,1773,1000
256,4811916273.139668,1785,1000
512,4795751675.315648,1791,1000
1024,4786630872.722571,1794,1000
2048,4775592473.742381,1798,1000
4096,4776880496.443449,1798,1000
8192,4776338645.544599,1798,1000
16384,4772692320.129525,1799,1000
32768,4447176353.888177,1931,1000
