ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,2000608942.487295,1073,1000
2,1892636374.853259,1134,1000
4,1828152873.052438,1174,1000
8,1809152272.388377,1187,1000
16,1801531878.338836,1192,1000
32,1795747076.610206,1195,1000
64,1793663744.162718,1197,1000
128,1793211420.192508,1197,1000
256,1792762317.560522,1197,1000
512,1790647079.326061,1199,1000
1024,1792335878.372288,1198,1000
2048,1790614231.635120,1199,1000
4096,1790539582.273732,1199,1000
8192,1787999247.327764,1201,1000
16384,1787439674.388021,1201,1000
32768,1715178142.673558,1252,1000
