ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,790169098.578531,1358,1000
2,680390858.772277,1578,1000
4,636271844.660194,1687,1000
8,616329320.680812,1742,1000
16,606853226.025229,1769,1000
32,602203689.132097,1783,1000
64,599782051.367988,1790,1000
128,598679813.282959,1793,1000
256,598113219.865030,1795,1000
512,597803531.452082,1796,1000
1024,597601241.795617,1796,1000
2048,597080178.677778,1798,1000
4096,597085159.033001,1798,1000
8192,597052622.213919,1798,1000
16384,596785489.623496,1799,1000
32768,596384410.517774,1800,1000
