ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
4194304,4776723772.027871,1798290,1000000
473,1
906,2
1757,4
3552,8
7031,16
14065,32
28103,64
56237,128
112409,256
224797,512
449609,1024
899445,2048
1799082,4096
8388608,4774620941.124418,1799082,1000000
965,1
1939,2
3679,4
7337,8
14613,16
29126,32
58115,64
116287,128
232241,256
464140,512
927990,1024
1856064,2048
16777216,4628037929.726562,1856064,1000000
2001,1
3940,2
7714,4
15387,8
30703,16
61376,32
122691,64
244928,128
489767,256
978717,512
1955745,1024
33554432,4392154699.104433,1955745,1000000
