AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,945.477135,1277,1000
2,1102.718992,1232,1000
4,1138.111555,1444,1000
8,855.355911,1961,1000
16,943.327391,2000,1000
32,1021.937640,1897,1000
64,900.657327,1118,1000
128,873.063233,1162,1000
256,755.603053,1376,1000
512,747.661057,1404,1000
1024,751.582505,1406,1000
2048,718.415604,1477,1000
4096,732.904888,1453,1000
8192,124.547308,1071,1000
16384,742.293132,1440,1000
32768,76.809874,1742,1000
65536,670.522840,1598,1000
131072,654.430749,1638,1000
