AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,1032.467888,1169,1000
2,1696.540634,1602,1000
4,1930.060235,1703,1000
8,1749.661560,1917,1000
16,1615.509410,1168,1000
32,1726.852756,1122,1000
64,1659.774618,1214,1000
128,1737.384236,1168,1000
256,1812.060033,1148,1000
512,1490.040075,1409,1000
1024,1798.402826,1175,1000
2048,1474.511874,1440,1000
4096,1538.042297,1385,1000
8192,489.695305,1090,1000
16384,1496.351451,1429,1000
32768,320.391273,1670,1000
65536,975.765069,1098,1000
131072,906.787270,1182,1000
