AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,1085.997670,1112,1000
2,1272.984744,1067,1000
4,1401.128772,1173,1000
8,1253.846315,1338,1000
16,1278.241135,1476,1000
32,1369.340009,1415,1000
64,1263.051630,1595,1000
128,1395.769284,1454,1000
256,1323.351690,1572,1000
512,1282.416463,1637,1000
1024,1166.797815,1811,1000
2048,1235.932360,1718,1000
4096,1196.223939,1781,1000
8192,270.830407,1970,1000
16384,1221.251858,1751,1000
32768,170.070623,1573,1000
65536,919.677299,1165,1000
131072,855.845377,1252,1000
