ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,1564510902.119519,1372,1000
2,1327746336.999734,1617,1000
4,1258147201.121122,1706,1000
8,1225759961.551656,1751,1000
16,1210361362.829365,1774,1000
32,1202715636.654459,1785,1000
64,1198439448.629946,1791,1000
128,1196712400.096741,1794,1000
256,1195856734.437038,1795,1000
512,1195459306.478019,1796,1000
1024,1195062807.637108,1796,1000
2048,1193523880.663377,1799,1000
4096,1193253964.717198,1799,1000
8192,1193767373.964166,1798,1000
16384,1193562355.284673,1799,1000
32768,1169911471.757114,1835,1000
