ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,3664779195.158871,1171,1000
2,4149582522.733509,1035,1000
4,4442135236.381313,1933,1000
8,4605006249.239418,1865,1000
16,4649329924.159596,1847,1000
32,4682676522.712790,1834,1000
64,3227316224.544772,1330,1000
128,3237445885.246557,1326,1000
256,3240408691.453404,1325,1000
512,3239907589.135855,1325,1000
1024,3187662572.771291,1347,1000
2048,3113590215.060467,1379,1000
4096,3119703307.055958,1376,1000
8192,3120870752.095613,1376,1000
16384,3097981569.213547,1386,1000
32768,2650662976.899250,1620,1000
