ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,2751524430.455731,1560,1000
2,2558539956.715965,1678,1000
4,2438561298.062593,1761,1000
8,2414135812.052335,1779,1000
16,2402080119.909173,1788,1000
32,2396235675.339116,1792,1000
64,2392225012.337180,1795,1000
128,2391171524.855290,1796,1000
256,2390526039.956319,1796,1000
512,2390357073.646377,1796,1000
1024,2389890212.226092,1797,1000
2048,2387883855.113557,1798,1000
4096,2388071061.084487,1798,1000
8192,2388019277.772959,1798,1000
16384,2383231740.116449,1802,1000
32768,2114537046.281882,1015,1000
ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,2751587890.358478,1560,1000
2,2558396695.681906,1678,1000
4,2438673451.473152,1761,1000
8,2413940427.206075,1779,1000
16,2401964590.466113,1788,1000
32,2396116697.071639,1792,1000
64,2392069128.260994,1795,1000
128,2390067092.671314,1797,1000
256,2390383680.929491,1796,1000
512,2390261292.331460,1796,1000
1024,2389612310.130086,1797,1000
2048,2387415305.032843,1799,1000
4096,2387063681.452680,1799,1000
8192,2387331702.116543,1799,1000
16384,2375369468.720654,1808,1000
32768,2139245413.911029,1003,1000
