ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,788488113.657709,1361,1000
2,680045691.818363,1578,1000
4,636161391.596977,1687,1000
8,616307741.228561,1742,1000
16,606843279.798846,1769,1000
32,602193894.730939,1783,1000
64,599821587.820135,1790,1000
128,598672469.721857,1793,1000
256,597657456.595405,1796,1000
512,597827495.875724,1796,1000
1024,597515775.649551,1797,1000
2048,596501363.838881,1800,1000
4096,597053286.195189,1798,1000
8192,597021084.804607,1798,1000
16384,596971959.478430,1798,1000
32768,596411242.777745,1800,1000
